weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,aug_noise_std,aug_magnitude_range,aug_stretch_range,MAE,MSE,RMSE,R2,total_params,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,2,2,4,8,0.0005,0.5,1024,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3226242738520169,0.3654916845117052,0.6045590827303029,0.901719223293516,3279874,27,,,205.47373461723328,52
0.01,3,4,2,8,0.0005,0.6,2048,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32165585805727226,0.366020668402259,0.6049964201565651,0.9015769794345392,3217154,36,,,467.48860144615173,29
0.005,4,3,2,8,0.0005,0.5,1024,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32869749498023004,0.36634221504463943,0.6052621044181102,0.9014905154872055,6438402,34,,,440.54455161094666,95
0.01,2,3,4,8,0.0003,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3241891559896192,0.3687746657679303,0.6072681992068498,0.9008364290701516,3279266,30,,,341.24294877052307,99
0.005,4,2,4,8,0.0005,0.5,512,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32434891967894613,0.36929400918676253,0.6076956550665493,0.9006967775356757,3248770,22,,,304.3449852466583,86
0.001,2,3,4,8,0.0005,0.6,512,256,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32042790396207493,0.37127259698921106,0.6093214233794928,0.9001647349359476,4071170,22,,,223.6253137588501,85
0.01,2,3,2,8,0.0003,0.6,2048,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.318657187725759,0.3734345819767017,0.6110929405390818,0.8995833768016792,6435074,22,,,284.3328514099121,13
0.01,4,4,4,8,0.0005,0.6,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32695767586947105,0.37940149877009943,0.6159557604001277,0.8979788718516375,1638146,21,,,248.379332780838,2
0.005,4,2,2,8,0.0005,0.6,512,128,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3252490256254332,0.3815211483628272,0.6176739822615384,0.8974088977122883,1638146,29,,,331.58822751045227,17
0.01,2,2,2,8,0.001,0.5,512,128,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32632166535335205,0.3834439657534542,0.6192285246606896,0.8968918517858727,845314,21,,,118.1745834350586,55
0.001,3,3,4,8,0.0005,0.5,1024,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.318281880653316,0.38749616767187967,0.6224919016918049,0.8958022139943962,4859138,24,,,290.0069851875305,48
0.005,3,2,2,8,0.0003,0.5,2048,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.32861578640185823,0.38751381369365795,0.6225060752263049,0.8957974689761108,4231874,29,,,345.8125376701355,122
0.01,4,2,2,8,0.0005,0.6,1024,192,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.317802303017516,0.38824907523517094,0.6230963611153342,0.895599757021381,4037250,39,,,515.9412975311279,144
0.005,2,3,2,8,0.0005,0.5,2048,160,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.33057662008708344,0.3886408667674377,0.6234106726447965,0.8954944042110985,3279266,23,,,274.2917742729187,19
0.01,4,3,4,8,0.0005,0.6,512,160,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3446215173268756,0.39070376897170306,0.6250630120009526,0.8949396894542482,2377410,26,,,270.9815037250519,98
0.005,3,3,2,8,0.0005,0.6,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3133631909958521,0.392205968440799,0.6262634976116674,0.8945357477591367,4231874,32,,,315.4448161125183,124
0.001,2,2,4,8,0.001,0.4,2048,256,64,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.35057184572709027,0.39355349819940416,0.627338423978162,0.8941733967757272,4330498,23,,,225.557683467865,118
0.01,2,2,2,8,0.0003,0.5,2048,192,128,ReduceLROnPlateau,0.1,0.8,0.25,0.5,0.1,"(0.5, 2.0)","(0.9, 1.1)",0.3492822859733738,0.4008860366758868,0.6331556180560091,0.8922016759206777,2849538,22,,,166.83377528190613,24
