iteration,n_categories,n_features,rmse,mae,r2,total_params,training_time,epochs_trained,toggle_EMG_BW,toggle_EMG_HjComp,toggle_EMG_HjMob,toggle_EMG_IEMG,toggle_EMG_Kurt,toggle_EMG_LogDet,toggle_EMG_MAV,toggle_EMG_MDF,toggle_EMG_MNF,toggle_EMG_Myopulse,toggle_EMG_PeakFreq,toggle_EMG_Power,toggle_EMG_RMS,toggle_EMG_SSC,toggle_EMG_Skew,toggle_EMG_SpecEntropy,toggle_EMG_VAR,toggle_EMG_WAMP,toggle_EMG_WL,toggle_EMG_ZC,toggle_IMU_DomFreq,toggle_IMU_Jerk,toggle_IMU_Kurt,toggle_IMU_MNF,toggle_IMU_Max,toggle_IMU_Mean,toggle_IMU_P2P,toggle_IMU_SMA,toggle_IMU_SVM_Mean,toggle_IMU_Skew,toggle_IMU_SpecEnergy,toggle_IMU_Std,toggle_IMU_Var
111,13,120,0.5182875537988066,0.3089991353843906,0.9277675012007486,1351426,171.13533878326416,25,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
87,17,152,0.5191572596136411,0.2840158529494458,0.9275248801623931,1355522,143.39231872558594,21,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1
95,17,160,0.5193418586453004,0.2973690437029066,0.9274733304044744,1356546,186.16058564186096,27,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
101,18,184,0.5193743992345573,0.3011672671477954,0.9274642414605976,1359618,166.83501863479614,24,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0
33,14,128,0.5201732958396766,0.31459982180366236,0.9272409222546675,1352450,159.27353405952454,24,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1
89,18,180,0.5203188534840026,0.27715554883899496,0.927200196897141,1359106,163.3887324333191,24,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1
119,18,164,0.5208755578832148,0.35816163389075095,0.9270443322714034,1357058,142.10001301765442,21,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1
60,15,128,0.521945680458493,0.30683378391349037,0.9267442540527762,1352450,159.8906102180481,24,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
135,17,164,0.5234835537181112,0.28452423623172934,0.926311933118921,1357058,156.19424200057983,22,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1
57,24,220,0.5244505121596468,0.29614750338152934,0.9260394542379172,1364226,148.760675907135,22,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1
