iteration,rmse,mae,r2,total_params,training_time,epochs_trained,weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type
108,0.4906433544751341,0.2682078103994572,0.9352674193184398,417666,131.6457142829895,22,0.005,2,4,8,4,0.0003,0.25,256,64,64,ReduceLROnPlateau
23,0.4923510967365604,0.284594365158017,0.9348160162864412,1362690,178.10166811943054,22,0.005,1,4,8,8,0.0003,0.25,256,128,64,ReduceLROnPlateau
125,0.49285218243995715,0.28589842411141286,0.9346832679950057,773474,129.40772652626038,25,0.005,3,2,8,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
142,0.49478759389366583,0.304244151592888,0.9341692681846244,1362690,144.72262239456177,21,0.005,2,4,2,8,0.0003,0.25,256,128,64,ReduceLROnPlateau
104,0.49752771630136255,0.2963119256992762,0.9334381110272402,2277794,137.36145853996277,21,0.005,2,3,4,4,0.0003,0.25,1024,160,64,ReduceLROnPlateau
54,0.4977642288235422,0.2815251928678555,0.9333748121935135,2033346,172.11974835395813,21,0.005,2,4,8,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
60,0.4978719077390909,0.29500726957689616,0.9333459836697752,1021762,158.09262990951538,23,0.005,4,2,8,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
52,0.49855972557959893,0.27768135831340174,0.9331616893192779,317762,122.6257803440094,22,0.005,3,3,8,4,0.0003,0.25,256,64,64,ReduceLROnPlateau
53,0.49893296759537437,0.3342060942408159,0.9330615761226178,625250,124.46086406707764,21,0.005,1,3,8,4,0.0003,0.25,256,96,64,ReduceLROnPlateau
6,0.5007581357772942,0.30536328471163027,0.9325709396879557,1021762,166.89869117736816,22,0.005,4,4,2,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
66,0.5014626345492127,0.2940855641446655,0.9323810791448738,317762,126.29258799552917,24,0.005,3,3,8,8,0.0003,0.25,256,64,64,ReduceLROnPlateau
102,0.5017891659207808,0.2567767964200398,0.9322929892808057,1417026,160.84582614898682,23,0.005,2,4,4,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau
116,0.502470816690473,0.3034775369385088,0.9321089124340105,833026,94.4676206111908,23,0.005,1,2,4,8,0.0003,0.25,512,128,64,ReduceLROnPlateau
136,0.5025112923490082,0.2788582547845826,0.9320979742976483,773474,116.0829701423645,22,0.005,1,3,2,4,0.0003,0.25,512,96,64,ReduceLROnPlateau
58,0.5028003915824546,0.2730512114552528,0.9320198225400341,1417026,163.29607367515564,22,0.005,1,4,4,8,0.0003,0.25,1024,96,64,ReduceLROnPlateau
32,0.5038370659356909,0.2833005330416598,0.931739210358145,1021762,188.5400848388672,25,0.005,3,4,4,8,0.0003,0.25,512,96,64,ReduceLROnPlateau
29,0.5045505398036567,0.27894701374004144,0.9315457479231886,824130,170.42745995521545,24,0.005,3,4,8,4,0.0003,0.25,256,96,64,ReduceLROnPlateau
43,0.5052296937725866,0.3291863687122932,0.9313613371929289,1069922,115.70431423187256,21,0.005,2,3,4,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau
87,0.50544643045149,0.3281958300355495,0.9313024344525864,1043074,106.67329430580139,21,0.005,1,2,8,4,0.0003,0.25,256,160,64,ReduceLROnPlateau
100,0.5055998895257833,0.2803483626822992,0.9312607134528783,1624194,139.6120901107788,21,0.005,1,3,8,8,0.0003,0.25,1024,128,64,ReduceLROnPlateau
21,0.5061154724408279,0.32385292296228957,0.9311204488968162,1538210,152.85240864753723,21,0.005,1,3,4,4,0.0003,0.25,256,160,64,ReduceLROnPlateau
109,0.5061333720637531,0.2797380096690823,0.9311155767288575,417666,151.41848850250244,22,0.005,4,3,8,4,0.0003,0.25,256,64,64,ReduceLROnPlateau
34,0.5062293422382609,0.26992983092180967,0.931089451295352,1417026,182.55185914039612,24,0.005,4,2,2,4,0.0003,0.25,1024,96,64,ReduceLROnPlateau
59,0.5063321972511564,0.3045093128086925,0.9310614461410527,2033346,157.51543068885803,21,0.005,1,4,4,8,0.0003,0.25,256,160,64,ReduceLROnPlateau
135,0.5063806528190345,0.3404322532069522,0.9310482507857759,1069922,118.63304734230042,21,0.005,2,3,8,8,0.0003,0.25,1024,96,64,ReduceLROnPlateau
150,0.5064839219165225,0.28898581604361084,0.9310201244703541,549762,144.04296350479126,22,0.005,3,4,2,8,0.0003,0.25,512,64,64,ReduceLROnPlateau
120,0.5070696711213524,0.3040945434193242,0.9308604816084551,416834,110.81783437728882,22,0.005,2,3,2,4,0.0003,0.25,512,64,64,ReduceLROnPlateau
