weight_decay,num_layers_temporal,num_layers_spatial,nhead_temporal,nhead_spatial,learning_rate,dropout_rate,dim_feedforward,d_model,batch_size,scheduler_type,pct_start,aug_p,aug_channel_dropout,aug_mixup_alpha,MAE,MSE,RMSE,R2,epochs_trained,overfit_ratio,best_val_loss,time_seconds,iteration
0.001,1,2,8,2,0.0003,0.4,512,192,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.30635122600115067,0.2975962028566501,0.5455237876175979,0.9199763299656813,41,3.621854792441018,0.3271867156408822,252.28467202186584,9
0.0001,1,4,8,8,0.0003,0.3,128,160,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.30208288171458136,0.2991291326932743,0.5469269902768323,0.9195641248694663,37,,0.2997746964811787,401.6440317630768,32
1e-06,2,1,8,8,0.0001,0.5,128,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.29209196922017594,0.2993035750584904,0.5470864420349771,0.9195172172875145,38,2.1757969302791778,0.44685420634899925,177.20027422904968,61
1e-06,1,2,2,2,0.0001,0.4,512,256,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3124347750367478,0.2998378853594271,0.5475745477644365,0.9193735411558714,45,2.755663617049649,0.3171733701644942,231.90249180793762,24
0.0001,2,1,2,2,0.0001,0.3,1024,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32597243870413584,0.3003601493149012,0.5480512287322246,0.9192331042885912,32,1.1857033679920044,0.34432234042404475,130.91218256950378,78
5e-05,1,3,4,8,0.002,0.1,128,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.31684726371630095,0.30249497238636824,0.5499954294231619,0.9186590499982042,33,,0.3032726338067541,177.16707301139832,2
0.0001,1,3,8,2,0.0001,0.4,128,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3031975043311391,0.3034321147111375,0.5508467252431819,0.9184070522662013,38,2.097595521038921,0.36085204665073306,234.49262475967407,13
1e-05,1,2,4,4,0.002,0.15,128,128,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32152632931471764,0.3096178829674139,0.5564331792474402,0.916743698120223,32,,0.3187912678526294,148.26603245735168,53
1e-05,3,3,8,8,0.001,0.1,128,256,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3958910720198229,0.3125815218715869,0.5590899049988176,0.9159467751101447,31,,0.31289847734183723,260.309378862381,22
0.001,2,4,8,2,0.001,0.3,1024,64,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.32898161994950914,0.3163156098554006,0.562419425211648,0.9149426782102936,32,3.7665906868224006,0.31635107878045043,207.33505940437317,12
0.0001,1,2,2,4,0.002,0.3,256,128,128,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3182352538284554,0.31730518702025395,0.5632984883880428,0.9146765807407911,38,,0.32552050623290985,137.74544644355774,69
0.0005,1,2,4,2,0.0005,0.5,128,160,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3116755555800308,0.32398444945786814,0.5691963189075173,0.9128805259247363,41,,0.35287015115966586,220.581289768219,3
0.0001,1,3,4,8,0.001,0.5,256,96,64,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.3124880558722733,0.3241819319342353,0.5693697673166668,0.9128274228529409,36,4.156350044246468,0.3292044607683491,205.40837359428406,66
0.001,3,1,8,4,0.0003,0.5,128,64,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.316376111069704,0.32875810746525513,0.5733743170610759,0.9115968884670911,40,4.780556067832218,0.392586985765345,366.95255756378174,14
1e-05,1,3,2,8,0.0003,0.5,512,256,32,ReduceLROnPlateau,0.1,0.5,0.25,0.5,0.31215637799768814,0.3349453394318398,0.5787446236742418,0.9099331407291595,37,,0.3627000771876528,395.2572748661041,37
